0.0288 9.33 -7.41873E-4 6.74888E-4
0.0288 9.82 -7.41461E-4 6.73523E-4
0.0288 10.31 -7.41073E-4 6.72284E-4
0.0288 10.8 -7.40705E-4 6.71137E-4
0.0288 11.29 -7.40354E-4 6.70037E-4
0.0288 11.78 -7.40018E-4 6.68987E-4
0.0288 12.27 -7.39695E-4 6.67979E-4
0.0288 12.76 -7.39385E-4 6.6701E-4
0.0288 13.25 -7.39087E-4 6.66077E-4
0.0288 13.74 -7.38799E-4 6.65177E-4
0.0288 14.23 -7.38522E-4 6.6431E-4
0.0288 14.72 -7.38255E-4 6.6348E-4
0.0288 15.21 -7.37998E-4 6.62691E-4
0.0288 15.7 -7.37753E-4 6.61958E-4
0.0288 16.19 -7.37516E-4 6.61259E-4
0.0288 16.68 -7.37286E-4 6.60577E-4
0.0288 17.17 -7.37062E-4 6.59914E-4
0.0288 17.66 -7.36845E-4 6.5927E-4
0.0288 18.15 -7.36634E-4 6.58643E-4
0.0288 18.64 -7.36428E-4 6.58033E-4
0.0288 19.13 -7.36228E-4 6.57439E-4
0.0288 19.62 -7.36033E-4 6.5686E-4
0.0288 20.11 -7.35843E-4 6.56295E-4
0.0288 20.6 -7.35657E-4 6.55744E-4
0.0288 21.09 -7.35475E-4 6.55206E-4
0.0288 21.58 -7.35298E-4 6.5468E-4
0.0288 22.07 -7.35125E-4 6.54166E-4
0.0288 22.56 -7.34955E-4 6.53663E-4
0.0288 23.05 -7.34789E-4 6.53171E-4
0.0288 23.54 -7.34627E-4 6.5269E-4
0.0288 24.03 -7.34468E-4 6.52218E-4
0.0288 24.52 -7.34312E-4 6.51754E-4
0.0288 25.01 -7.3416E-4 6.51304E-4
0.0288 25.5 -7.34012E-4 6.50886E-4
0.0288 25.99 -7.33869E-4 6.50483E-4
0.0288 26.48 -7.33727E-4 6.50084E-4
0.0288 26.97 -7.33589E-4 6.49692E-4
0.0288 27.46 -7.33452E-4 6.49308E-4
0.0288 27.95 -7.33318E-4 6.4893E-4
0.0288 28.44 -7.33187E-4 6.48559E-4
0.0288 28.93 -7.33058E-4 6.48194E-4
0.0288 29.42 -7.32931E-4 6.47835E-4
0.0288 29.91 -7.32806E-4 6.47483E-4
0.0288 30.4 -7.32683E-4 6.47136E-4
0.0288 30.89 -7.32562E-4 6.46794E-4
0.0288 31.38 -7.32443E-4 6.46458E-4
0.0288 31.87 -7.32325E-4 6.46127E-4
0.0288 32.36 -7.3221E-4 6.45801E-4
0.0288 32.85 -7.32096E-4 6.4548E-4
0.0288 33.34 -7.31984E-4 6.45164E-4
0.0288 33.83 -7.31874E-4 6.44853E-4
0.0288 34.32 -7.31765E-4 6.44546E-4
0.0288 34.81 -7.31658E-4 6.44243E-4
0.0288 35.3 -7.31552E-4 6.43944E-4
0.0288 35.79 -7.31447E-4 6.4365E-4
0.0288 36.28 -7.31345E-4 6.4336E-4
0.0288 36.77 -7.31243E-4 6.43073E-4
0.0288 37.26 -7.31143E-4 6.4279E-4
0.0288 37.75 -7.31044E-4 6.42511E-4
0.0288 38.24 -7.30946E-4 6.42236E-4
0.0288 38.73 -7.3085E-4 6.41964E-4
0.0288 39.22 -7.30755E-4 6.41696E-4
0.0288 39.71 -7.30661E-4 6.41431E-4
0.0288 40.2 -7.30569E-4 6.41175E-4
0.0288 40.69 -7.30478E-4 6.40931E-4
0.0288 41.18 -7.30389E-4 6.40693E-4
0.0288 41.67 -7.30301E-4 6.40456E-4
0.0288 42.16 -7.30214E-4 6.40222E-4
0.0288 42.65 -7.30128E-4 6.3999E-4
0.0288 43.14 -7.30043E-4 6.39762E-4
0.0288 43.63 -7.29959E-4 6.39536E-4
0.0288 44.12 -7.29876E-4 6.39312E-4
